EnrollmentDate,mc_id,YearOfBirth,Dose,window_name,window_role,window_n,window_theta0_mean,window_theta0_sd,window_theta_anchor,window_H_abs_start,window_H_abs_min,window_H_abs_max,window_H_rel_min,window_H_rel_max,window_step2_theta_limit,window_step2_ratio,window_H_rel_end,window_z_end,window_z_min,window_status,window_note,window_anchors_total,window_anchors_used,window_skip_step1,window_skip_step2,window_skip_weak_id,window_skip_step1_invalid_discriminant,window_skip_step1_nonfinite,window_skip_step2_invalid_discriminant,window_skip_step2_nonfinite
2021_24,,1980,0,post COVID,diagnostic,16,0.1000440366855356,1.3407216768447581e-17,0.1,0.002200622845067564,0.002200622845067564,0.0025252584505113538,0.0,0.0003246356054437899,113.60420099261691,0.0008802491380270256,0.0003246356054437899,3.246356054437899e-05,,identified,,16,16,0,0,0,0,0,0,0
2021_24,,1990,0,post primary,primary,11,0.10000023066600772,1.642041997679149e-17,0.1,1.1533267132507835e-05,1.1533267132507835e-05,8.996301142254212e-05,0.0,7.842974429003429e-05,21676.424999759725,4.613306853003135e-06,7.842974429003429e-05,7.84297442900343e-06,,identified,,11,11,0,0,0,0,0,0,0
2021_24,,1990,0,post booster,diagnostic,4,0.1000083757336951,0.0,0.1,0.00041874284322257043,0.00041874284322257043,0.0004441268337718584,0.0,2.5383990549287963e-05,597.0251290172375,0.0001674971372890282,2.5383990549287963e-05,2.5383990549287965e-06,,identified,,4,4,0,0,0,0,0,0,0
2021_24,,1990,0,post COVID,diagnostic,16,0.10001885857864076,1.827095665330967e-17,0.1,0.0009427066993964481,0.0009427066993964481,0.0010743178509761912,0.0,0.00013161115157974313,265.1938298094818,0.0003770826797585793,0.00013161115157974313,1.3161115157974314e-05,,identified,,16,16,0,0,0,0,0,0,0
2021_24,,2000,0,post primary,primary,11,0.10000010285766892,2.1046707277126847e-17,0.1,5.142876832739781e-06,5.142876832739781e-06,3.908652729045805e-05,0.0,3.394365045771827e-05,48610.92499989286,2.0571507330959124e-06,3.394365045771827e-05,3.3943650457718272e-06,,identified,,11,11,0,0,0,0,0,0,0
2021_24,,2000,0,post booster,diagnostic,4,0.1545548125121453,2.2662332591841973e-17,0.15454419776405698,0.000222196391662988,0.000222196391662988,0.0002345420833768194,0.0,1.23456917138314e-05,1125.1307824079456,0.00013735665238249873,1.23456917138314e-05,1.9079550217564394e-06,,identified,,4,4,0,0,0,0,0,0,0
2021_24,,2000,0,post COVID,diagnostic,16,0.1399751417943032,2.2662332591841973e-17,0.13995684051221624,0.0004670810810086266,0.0004670810810086266,0.0005401465317340444,0.0,7.30654507254178e-05,535.2389770532853,0.00026148476944399163,7.30654507254178e-05,1.0226009634130492e-05,,identified,,16,16,0,0,0,0,0,0,0
2021_24,,-2,0,post primary,primary,11,116.2301717352896,3.209262840367789e-14,111.46722469706884,0.00018189175196806022,0.00018189175196806022,0.001891464107553306,0.0,0.0017095723555852456,1374.443850779443,0.08109987514866912,0.0017095723555852456,0.19056128589591784,,identified,,11,11,0,0,0,0,0,0,0
2021_24,,-2,0,post booster,diagnostic,4,0.14527704035652303,1.6024689053196365e-17,0.14486291151786082,0.009831985547347757,0.009831985547347757,0.010250713497692496,0.0,0.00041872795034473935,25.427213943315767,0.005697160209561299,0.00041872795034473935,6.0658150020845194e-05,,identified,,4,4,0,0,0,0,0,0,0
2021_24,,-2,0,post COVID,diagnostic,0,,,51.50705095806143,0.017393426400802072,0.017393426400802072,0.019153461621969063,0.0,0.001760035221166991,14.373246204581728,3.583536399845613,0.001760035221166991,0.09065422382463112,,transport_or_anchor_fail,,16,0,0,16,0,0,0,16,0
