enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean,h_first1,h_first2,h_last2,h_last1,t_first1,t_first2,t_last2,t_last1,iso_week_first,iso_week_last
2022_06,slope7_lm,1930,2,115,-0.0022005420777046936,-5.258803720613839,-0.07422407152006444,-0.0013639717822604286,6.350644114909031,0.16127087338804255,,,-5.338528600504284,0.08082067420096362,0.01671234955487852,38.0,0.0,114.0,57.0,-6.364524014433995,-5.290511154917892,-5.771642089409555,0.0046479369285255,0.005039183797681116,0.002301376610695725,0.002727226738884604,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope8_invalid_params,1930,2,115,-0.0022005420777046936,,,,,,invalid parameters from slope8 fit,,,,,,0.0,114.0,57.0,-6.364524014433995,-5.290511154917892,-5.771642089409555,0.0046479369285255,0.005039183797681116,0.002301376610695725,0.002727226738884604,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,linear,1930,3,115,0.0024704072526350335,-6.20455518806129,,,,0.11894108074952374,linear_fit_t_mean=57.000000,,,,,,0.0,114.0,57.0,-6.576923721025402,-5.773546408940779,-6.19665964725502,0.0017014529681067898,0.0017851080699575871,0.00222665549840093,0.002078655292060031,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_success,1930,3,115,0.0024704072526350335,-6.328572669135608,0.0023142872050038402,0.0023143035065025007,0.6848224530841169,0.11856555669454744,,,-6.337278035688878,0.04799638364572974,0.001,38.0,0.0,114.0,57.0,-6.576923721025402,-5.773546408940779,-6.19665964725502,0.0017014529681067898,0.0017851080699575871,0.00222665549840093,0.002078655292060031,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_lm_invalid_params,1930,3,115,0.0024704072526350335,-6.379919422313542,0.005038847567760704,0.8902261132334756,-18553.289598548723,,invalid parameters from LM slope7 fit,,,,,,0.0,114.0,57.0,-6.576923721025402,-5.773546408940779,-6.19665964725502,0.0017014529681067898,0.0017851080699575871,0.00222665549840093,0.002078655292060031,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope8,1930,3,100,0.0024704072526350335,-6.303188350539831,0.0019875350777573404,0.0019875350777573404,32.99982107232409,0.12404487401339953,,,-6.427813521327832,0.25169005236363573,0.001,33.0,0.0,114.0,57.0,-6.576923721025402,-5.773546408940779,-6.19665964725502,0.0017014529681067898,0.0017851080699575871,0.00222665549840093,0.002078655292060031,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,linear,1940,0,115,-0.002950437091739803,-6.704875409249199,,,,0.1838526687398141,linear_fit_t_mean=57.000000,,,,,,0.0,114.0,57.0,-7.09756078092152,-5.9949859591780195,-6.6781226046277204,0.0024912119520751562,0.0022482121058669024,0.001096545990351692,0.0010353129939725898,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_success,1940,0,115,-0.002950437091739803,-5.950339458410677,-0.1173408832755003,-0.0014574384849532773,5.8916018857473915,0.15444568830438318,,,-6.077435331766334,-0.1026340390799087,0.16108716691147065,38.0,0.0,114.0,57.0,-7.09756078092152,-5.9949859591780195,-6.6781226046277204,0.0024912119520751562,0.0022482121058669024,0.001096545990351692,0.0010353129939725898,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_lm,1940,0,115,-0.002950437091739803,-5.95034816077585,-0.11733541930117806,-0.0014573961648378791,5.8918320472560515,0.15444568835515726,,,-6.077435331766334,-0.1026340390799087,0.16108716691147065,38.0,0.0,114.0,57.0,-7.09756078092152,-5.9949859591780195,-6.6781226046277204,0.0024912119520751562,0.0022482121058669024,0.001096545990351692,0.0010353129939725898,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope8,1940,0,115,-0.002950437091739803,-6.261310958765189,-0.020008953954324765,0.0030887127106094155,38.070919451172706,0.1632391139827408,,,-6.077435331766334,-0.1026340390799087,0.16108716691147065,38.0,0.0,114.0,57.0,-7.09756078092152,-5.9949859591780195,-6.6781226046277204,0.0024912119520751562,0.0022482121058669024,0.001096545990351692,0.0010353129939725898,0.0,1.0,113.0,114.0,2022-06,2024-16
