enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean
2022_26,slope7_success,1930,2,95,-0.001957426493769988,-5.673073518517093,-0.004609494065639204,1.3733968434451778,22931.400767142342,0.1870153097233877,,,,,,,0.0,94.0,47.0,-6.364802665327183,-5.353434799888715,-5.800844297804636
2022_26,slope7_lm_invalid_params,1930,2,95,-0.001957426493769988,-5.676825821208307,-0.00391381314328067,-0.004953618681940962,-46.5171625899412,,invalid parameters from LM slope7 fit,,,,,,0.0,94.0,47.0,-6.364802665327183,-5.353434799888715,-5.800844297804636
2022_26,linear,1930,3,91,0.002076705350771075,-6.1549554464880964,,,,0.12376590089394691,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-6.4623220092068605,-5.760572523261393,-6.155635123651434
2022_26,linear,1940,0,91,-0.001982371004998898,-6.735808649131232,,,,0.16848477147622215,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-7.092549563746165,-6.324416503253094,-6.722227529470378
2022_26,slope7_success,1940,0,95,-0.001982371004998898,-6.571687929284559,-0.006403957595501297,1.5097065601408857,15466.114130794424,0.1626594507196342,,,,,,,0.0,94.0,47.0,-7.092549563746165,-6.324416503253094,-6.72776506187998
2022_26,slope7_lm_invalid_params,1940,0,95,-0.001982371004998898,-6.577725477483933,-0.0055647609998213474,-0.010104360733242175,-82.41583743470414,,invalid parameters from LM slope7 fit,,,,,,0.0,94.0,47.0,-7.092549563746165,-6.324416503253094,-6.72776506187998
2022_26,linear,1940,1,89,-0.004115928607658377,-6.450250214265061,,,,0.5284853364328869,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,44.842696629213485,-7.784056988196321,-5.42133755212367,-6.529367156094821
2022_26,slope7_success,1940,1,93,-0.004115928607658377,-6.250190212172446,-0.12073738861468598,-0.003654198057623348,0.8493340284920224,0.5319513456709349,,,,,,,0.0,94.0,46.89247311827957,-7.784056988196321,-5.42009079047008,-6.51944195056454
2022_26,slope7_lm_invalid_params,1940,1,93,-0.004115928607658377,-6.293881973091623,-0.005410889330159436,-0.005410889330159437,-2.298437201410785,,invalid parameters from LM slope7 fit,,,,,,0.0,94.0,46.89247311827957,-7.784056988196321,-5.42009079047008,-6.51944195056454
2022_26,linear,1940,2,91,-0.0007428072615029504,-6.828950889085518,,,,0.15888527062067367,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-7.1481210489927784,-6.338429452440926,-6.807233611025762
