Date,ISOweekDied,KCOR,MoE,MR_num,MR_adj_num,CMR_num,MR_den,MR_adj_den,CMR_den,Sheet,YearOfBirth,Dose_num,Dose_den
2022-01-24,2022-04,1.1606082313127348,0.04430882930788509,0.0008637383700980876,0.0009271269823100535,0.0007699841947832098,0.0019087221786700296,0.0024156655680200923,0.002344208060448048,2021_24,1940,2,0
2022-01-31,2022-05,1.1548079033868182,0.04328193576257519,0.0008210634350451979,0.0008835521422115138,0.0007732794511333003,0.002441689717583581,0.0031162904146266684,0.0023660652254771956,2021_24,1940,2,0
2022-02-07,2022-06,1.1527151576085506,0.04234344680436929,0.0009797646984458087,0.0010570017939593467,0.0007812733431948052,0.0026530647176625645,0.00341466933109971,0.002394864758791655,2021_24,1940,2,0
2022-02-14,2022-07,1.1458329656190935,0.041330976053533856,0.0008541803427794079,0.0009238510872941482,0.0007851766740487075,0.0026086359579872314,0.0033858494737681135,0.0024212858667664156,2021_24,1940,2,0
2022-02-21,2022-08,1.1442563748463392,0.04061036609888768,0.0008469947517988744,0.0009183993874100859,0.0007887237532181524,0.0022713194301053068,0.0029729372774473803,0.002435575351388903,2021_24,1940,2,0
2022-02-28,2022-09,1.145362307179273,0.04003879507653418,0.0008516740346373849,0.000925811854795744,0.0007922761543113964,0.002104028697571744,0.002777234488788317,0.0024441828287969777,2021_24,1940,2,0
2022-03-07,2022-10,1.1397941107536311,0.039315727487598394,0.0006779553500985216,0.0007388374274701658,0.0007909274802791478,0.0020738999688915006,0.002760590926794429,0.002451942305997196,2021_24,1940,2,0
2022-03-14,2022-11,1.1417777718690576,0.03886205435665421,0.0008053701925747249,0.0008799172093739106,0.0007931166473059004,0.001905025804440442,0.002557222248586733,0.0024544572508689083,2021_24,1940,2,0
2022-03-21,2022-12,1.136997558828397,0.03813554260287039,0.0008020487979194377,0.0008785075870472884,0.0007951652363715338,0.002342448639644642,0.0031709620847016687,0.0024711428037850285,2021_24,1940,2,0
2022-03-28,2022-13,1.1426711568809664,0.03779323907056137,0.0009457467226697078,0.0010385275784088126,0.0008008624186364418,0.0019827121415030347,0.00270666182861692,0.002476490349195466,2021_24,1940,2,0
2022-04-04,2022-14,1.1491018848545242,0.037517646088169834,0.0009187995942962831,0.0010114919905310057,0.0008056760715566722,0.0018298102225397766,0.0025190323335594297,0.002477433004418078,2021_24,1940,2,0
2022-04-11,2022-15,1.1590125939976954,0.03743462247933927,0.0008639085292056819,0.0009534718590317458,0.0008089753098956871,0.0014141555221900207,0.0019632618459004946,0.0024663068127281193,2021_24,1940,2,0
2022-04-18,2022-16,1.1673389309188866,0.03728129265927078,0.0008885630381683647,0.00098316594350224,0.0008127756385981813,0.0015560256656817666,0.002178467921772372,0.002460218608469286,2021_24,1940,2,0
2022-04-25,2022-17,1.1766687597609264,0.037144507349753254,0.0009531633857639665,0.0010573150117948451,0.0008179923183349807,0.0016109826994466624,0.0022744618146581116,0.002456376832847167,2021_24,1940,2,0
2022-05-02,2022-18,1.1829279736117284,0.036965950558674965,0.0008183469391828506,0.0009100661772728667,0.0008199136794350253,0.001473270660867125,0.0020976048285923986,0.002449118624026789,2021_24,1940,2,0
2022-05-09,2022-19,1.1868623202802695,0.03668808468721472,0.0008469836196564123,0.0009442978210362362,0.0008224541838502196,0.0016862221597695496,0.0024210808159676263,0.002448563450223427,2021_24,1940,2,0
2022-05-16,2022-20,1.1903372060864104,0.03643874584099601,0.0007757269441156713,0.0008670443594803498,0.0008233459532022452,0.001530719966218594,0.0022163768304805935,0.002444062668104205,2021_24,1940,2,0
2022-05-23,2022-21,1.1955740998005195,0.0362732286925616,0.0007643240734071246,0.0008564626806526849,0.0008239947825847438,0.0013568521031207597,0.0019812246690616223,0.0024352746852000953,2021_24,1940,2,0
2022-05-30,2022-22,1.200278718806757,0.03606469259281796,0.0008249800763306808,0.0009267718419540057,0.0008259682369596592,0.0015175042348955392,0.002234521238422132,0.0024315389524631205,2021_24,1940,2,0
2022-06-06,2022-23,1.2044038086274695,0.03586412437287495,0.0007775644596929021,0.0008757179192139693,0.0008269047407893714,0.0014314494751351925,0.002125611833078714,0.0024259584161439433,2021_24,1940,2,0
2022-06-13,2022-24,1.2057044376083736,0.035607635567492094,0.0006778899572006755,0.0007653947853226657,0.0008257691188537971,0.0013981063622688257,0.0020936375929231613,0.0024200133897012608,2021_24,1940,2,0
2022-06-20,2022-25,1.209360928165694,0.03542031291198226,0.0007385583661804491,0.0008360063682693439,0.0008259545733956476,0.0013468968206146103,0.00203399079828157,0.0024132383567094886,2021_24,1940,2,0
2022-06-27,2022-26,1.2104670523191794,0.03513882908936827,0.0007471379795139586,0.0008478597950284328,0.0008263440573404561,0.001543921916592724,0.0023512204405826704,0.002412170078237732,2021_24,1940,2,0
