Date,Dose,ISOweek,Dead,Alive,MR,MR_adj,Cum_MR,Cumu_Adj_Deaths,Cumu_Person_Time
2023-09-04,0,2023-36,55.0,51256,0.0010730451069143124,0.0027529247183514342,0.002705838387847078,17839.17308612567,6592845.0
2023-09-11,0,2023-37,57.0,51201,0.0011132595066502607,0.0028802231026312415,0.0027071822484678,17986.64338920349,6644046.0
2023-09-18,0,2023-38,74.0,51144,0.0014468950414515877,0.003775027378965462,0.0027153394286754074,18179.7133894733,6695190.0
2023-09-25,0,2023-39,72.0,51070,0.001409829645584492,0.003709394949864615,0.002722864548588831,18369.152189562887,6746260.0
2023-10-02,0,2023-40,82.0,50998,0.001607906192399702,0.004266291303734129,0.0027344444647342675,18586.72451347072,6797258.0
2023-10-09,0,2023-41,77.0,50916,0.0015122947599968575,0.00404650056905415,0.002744199568592253,18792.75613644468,6848174.0
2023-10-16,0,2023-42,82.0,50839,0.0016129349515136017,0.004352245367903108,0.002756049298458128,19014.019938703506,6899013.0
2023-10-23,0,2023-43,74.0,50757,0.001457926985440432,0.0039672142357964285,0.0027648949291371985,19215.383831669827,6949770.0
2023-10-30,0,2023-44,72.0,50683,0.0014205946767160587,0.003898283523987716,0.002773100617276639,19412.960535516097,7000453.0
2023-11-06,0,2023-45,84.0,50611,0.0016597182430696884,0.004592942066066373,0.0027861630424034986,19645.41392642178,7051064.0
2023-11-13,0,2023-46,89.0,50527,0.0017614344805747422,0.004915599072573593,0.0028013137338888856,19893.784400761706,7101591.0
2023-11-20,0,2023-47,97.0,50438,0.0019231531781593242,0.005412241877877374,0.002819726689670594,20166.767056598088,7152029.0
2023-11-27,0,2023-48,71.0,50341,0.0014103812002145368,0.004002701381586006,0.0028279950970095274,20368.26704684851,7202370.0
2023-12-04,0,2023-49,100.0,50270,0.001989258006763477,0.005693261811758803,0.0028478550318402156,20654.467318125622,7252640.0
2023-12-11,0,2023-50,84.0,50170,0.0016743073549930238,0.0048323522740430485,0.002861488445093651,20896.906431714364,7302810.0
2023-12-18,0,2023-51,79.0,50086,0.0015772870662460567,0.004590790812793567,0.002873267999488085,21126.840780363942,7352896.0
2023-12-25,0,2023-52,104.0,50007,0.002079708840762293,0.006104254893824101,0.002895093486276857,21432.0962548394,7402903.0
2024-01-01,0,2024-01,86.0,49903,0.0017233432859747912,0.00510099947583158,0.0029098639400625516,21686.651431681825,7452806.0
2024-01-08,0,2024-02,72.0,49817,0.0014452897605235161,0.0043141155044123455,0.0029191880924531507,21901.567723765136,7502623.0
2024-01-15,0,2024-03,82.0,49745,0.0016484068750628204,0.0049619755529675385,0.0029326432713087476,22148.401197647505,7552368.0
2024-01-22,0,2024-04,78.0,49663,0.001570585747941123,0.004767659329481736,0.002944631173291395,22385.177462927557,7602031.0
2024-01-29,0,2024-05,80.0,49585,0.0016133911465160836,0.004938972330442116,0.0029575551629789747,22630.07640593253,7651616.0
2024-02-05,0,2024-06,81.0,49505,0.0016361983638016361,0.005051103157080101,0.0029710130859810905,22880.13126772378,7701121.0
2024-02-12,0,2024-07,81.0,49424,0.001638879896406604,0.005102121215206598,0.0029846028255644153,23132.298506664152,7750545.0
2024-02-19,0,2024-08,65.0,49343,0.0013173094461220436,0.004135659841166546,0.0029918845463174385,23336.364370206833,7799888.0
2024-02-26,0,2024-09,66.0,49278,0.0013393400706197493,0.004240345337352233,0.0029997225320168887,23545.320107740874,7849166.0
2024-03-04,0,2024-10,58.0,49212,0.0011785743314638706,0.0037628829015697043,0.003004477514382437,23730.499101092923,7898378.0
2024-03-11,0,2024-11,68.0,49154,0.0013834072506815314,0.004454173535580438,0.0030134436133205686,23949.439547060843,7947532.0
2024-03-18,0,2024-12,53.0,49086,0.0010797376033899687,0.0035058123981350883,0.003016465942781774,24121.525854435702,7996618.0
2024-03-25,0,2024-13,60.0,49033,0.0012236656945322538,0.004006697832511848,0.003022500760877803,24317.986269257257,8045651.0
2024-04-01,0,2024-14,67.0,48973,0.001368100790231352,0.004517469825943368,0.0030315454206450085,24539.220319043183,8094624.0
2024-04-08,0,2024-15,61.0,48906,0.0012472907209749315,0.004153347017380548,0.0030382824043474013,24742.343908275194,8143530.0
2024-04-15,0,2024-16,72.0,48845,0.0014740505681236564,0.004949898228698434,0.0030496799386326885,24984.12168725597,8192375.0
2024-04-22,0,2024-17,51.0,48773,0.0010456605088881143,0.003541016530029419,0.003052587781031853,25156.827686475095,8241148.0
2024-04-29,0,2024-18,57.0,48722,0.0011699027133533107,0.003995216845764555,0.0030581278888130257,25351.482641634437,8289870.0
2024-05-06,0,2024-19,72.0,48665,0.0014795027226959826,0.0050951824152599984,0.0030700164589910653,25599.439693873064,8338535.0
2024-05-13,0,2024-20,58.0,48593,0.0011935875537628876,0.004145258420102001,0.0030762461519939937,25800.87023628108,8387128.0
2024-05-20,0,2024-21,65.0,48535,0.00133923972391058,0.004690390608995886,0.003085533211140451,26028.518344488693,8435663.0
2024-05-27,0,2024-22,63.0,48470,0.0012997730554982464,0.004590622479494929,0.0030941318124161673,26251.025816069814,8484133.0
2024-06-03,0,2024-23,66.0,48407,0.0013634391720205754,0.0048561621189446525,0.003104128202828416,26486.09805576157,8532540.0
2024-06-10,0,2024-24,39.0,48341,0.0008067685815353427,0.0028977422089298526,0.0031029655127350494,26626.177811883445,8580881.0
2024-06-17,0,2024-25,55.0,48302,0.0011386692062440478,0.0041244088129808116,0.003108683059145697,26825.395006368046,8629183.0
2024-06-24,0,2024-26,58.0,48247,0.001202147283768939,0.004391118629733335,0.0031158134732169307,27037.25330689679,8677430.0
2024-07-01,0,2024-27,50.0,48189,0.0010375811907281744,0.003822019875662656,0.0031197136412540014,27221.432622685097,8725619.0
2024-07-08,0,2024-28,45.0,48139,0.0009347929952844887,0.0034724792612967174,0.0031216491612652934,27388.59430184466,8773758.0
2024-07-15,0,2024-29,57.0,48094,0.0011851790244105293,0.004439780794612814,0.003128835205961375,27602.12111938077,8821852.0
2024-07-22,0,2024-30,49.0,48037,0.0010200470470678852,0.0038534624810394507,0.0031327595978464283,27787.22989658246,8869889.0
2024-07-29,0,2024-31,55.0,47988,0.0011461198632991582,0.004366307637147191,0.0031393974448710024,27996.76026747388,8917877.0
2024-08-05,0,2024-32,57.0,47933,0.0011891598689837898,0.004568544894854044,0.003147037950828639,28215.744329918918,8965810.0
2024-08-12,0,2024-33,64.0,47876,0.0013367866989723452,0.005179086070769686,0.0031578311308651185,28463.698254643088,9013686.0
2024-08-19,0,2024-34,42.0,47812,0.0008784405588555174,0.003432074865833089,0.0031592781478435796,28627.7926181283,9061498.0
2024-08-26,0,2024-35,45.0,47770,0.0009420138162026376,0.0037115473553269392,0.0031621743081104068,28805.09323529227,9109268.0
2024-09-02,0,2024-36,26.0,47725,0.0005447878470403353,0.002164604239954943,0.0031569751088205613,28908.398972644118,9156993.0
2024-09-09,0,2024-37,29.0,47699,0.0006079792029183001,0.002436089152154219,0.0031532394553900034,29024.59798911272,9204692.0
2024-09-16,0,2024-38,29.0,47670,0.0006083490664988463,0.0024581629042543995,0.0031496582834478946,29141.77861475853,9252362.0
2024-09-23,0,2024-39,20.0,47641,0.00041980646921769063,0.0017106466122482266,0.0031422866777583458,29223.27553001265,9300003.0
2024-09-30,0,2024-40,8.0,47621,0.00016799311228239642,0.0006903288302222166,0.003129795301911658,29256.14967923666,9347624.0
2024-10-07,0,2024-41,3.0,47613,6.300800201625606e-05,0.00026110404738145,0.0031152574039637992,29268.58162624463,9395237.0
2021-06-14,2,2021-24,132.0,259633,0.0005084099478879804,0.0005084099478879804,0.0005084099478879804,132.0,259633.0
2021-06-21,2,2021-25,130.0,259501,0.0005009614606494773,0.0004971745883846411,0.0005027936965415534,261.01730286040276,519134.0
2021-06-28,2,2021-26,120.0,259371,0.0004626577373723354,0.00046032323906370476,0.0004886440057540991,380.41180169959495,778505.0
2021-07-05,2,2021-27,113.0,259251,0.0004358710284627639,0.00043476996937300266,0.0004751852564856433,493.12635102951526,1037756.0
2021-07-12,2,2021-28,171.0,259138,0.0006598800639041747,0.0006598800639041747,0.0005120899248739799,664.1263510295153,1296894.0
2021-07-19,2,2021-29,149.0,258967,0.0005753628840740326,0.0005768199960597903,0.0005228639929589667,813.5036949491309,1555861.0
2021-07-26,2,2021-30,200.0,258818,0.0007727437813444196,0.0007766626993947501,0.0005590619506155532,1014.5179814810814,1814679.0
2021-08-02,2,2021-31,166.0,258618,0.0006418733421494251,0.0006467623538039043,0.0005700014845423205,1181.7823678971395,2073297.0
2021-08-09,2,2021-32,174.0,258452,0.0006732391314441367,0.0006800850206083857,0.0005822031880976117,1357.551701643418,2331749.0
2021-08-16,2,2021-33,141.0,258278,0.0005459233848798582,0.0005528712678985017,0.0005792782032672661,1500.3461869737073,2590027.0
2021-08-23,2,2021-34,152.0,258137,0.0005888346110786133,0.0005978388265866349,0.0005809604040189756,1654.6705081523014,2848164.0
2021-08-30,2,2021-35,169.0,257985,0.000655076845553036,0.000666778366849729,0.0005880881197663179,1826.6893251240288,3106149.0
2021-09-06,2,2021-36,165.0,257816,0.0006399913116331027,0.0006530730985904119,0.00059306860181667,1995.0620191102144,3363965.0
2021-09-13,2,2021-37,157.0,257651,0.000609351409464741,0.0006233816312658276,0.0005952251480519983,2155.676919787486,3621616.0
2021-09-20,2,2021-38,176.0,257494,0.0006835110721026509,0.0007010196629171015,0.0006022477518994465,2336.185276870662,3879110.0
2021-09-27,2,2021-39,164.0,257318,0.0006373436759185133,0.0006553250828042887,0.0006055495747847409,2504.8122165276964,4136428.0
2021-10-04,2,2021-40,167.0,257154,0.0006494163030713113,0.0006694293691967008,0.0006092884249193721,2676.9586565341046,4393582.0
2021-10-11,2,2021-41,190.0,256987,0.0007393370092650601,0.0007640512414399366,0.0006178405035852666,2873.3098929180296,4650569.0
2021-10-18,2,2021-42,193.0,256797,0.000751566412380207,0.0007786564170765184,0.0006262558213212604,3073.2665248540284,4907366.0
2021-10-25,2,2021-43,252.0,256604,0.000982057957007685,0.0010200326829860327,0.0006458230763228633,3335.0109914389764,5163970.0
2021-11-01,2,2021-44,229.0,256352,0.0008933029584321558,0.0009301954381077066,0.000659272355477915,3573.468452388763,5420322.0
2021-11-08,2,2021-45,252.0,256123,0.000983902265708273,0.0010271310503988172,0.0006758702565443793,3836.540338410059,5676445.0
2021-11-15,2,2021-46,254.0,255871,0.0009926877215471858,0.001038926950480473,0.0006915295166603478,4102.371616156448,5932316.0
2021-11-22,2,2021-47,252.0,255617,0.0009858499239095992,0.0010343836183662563,0.0007056924587794302,4366.777653532376,6187933.0
2021-11-29,2,2021-48,294.0,255365,0.0011512932469210737,0.0012110309669774628,0.000725720365007885,4676.0325764145755,6443298.0
2021-12-06,2,2021-49,266.0,255071,0.0010428468936100144,0.0010997356598744213,0.0007399627059832631,4956.543250914404,6698369.0
2021-12-13,2,2021-50,230.0,254805,0.0009026510468789859,0.0009543026077111865,0.0007478173747517685,5199.704326872253,6953174.0
