country,wave,r2_fit,fit_tier,week_start,week_end,n_weekly_observations,n_week_intervals,span_calendar_days,slope_ols_deaths_per_million_per_week,slope_secant_delta_over_n_minus_1,delta_cumulative
Dominican Republic,1,0.9972836217622435,primary,2020-08-02,2020-09-20,8,7,49,11.409035714285714,11.117571428571429,77.82300000000001
Ecuador,1,0.9960233390009825,primary,2020-06-21,2020-08-02,7,6,42,14.607142857142858,14.372,86.232
Ecuador,2,0.9946195125448533,primary,2020-10-11,2020-11-08,5,4,28,8.690499999999975,8.794249999999977,35.17699999999991
Ecuador,3,0.9952393430805951,primary,2021-01-24,2021-04-18,13,12,84,13.769016483516484,14.236500000000007,170.83800000000008
Ecuador,4,0.9922462082753913,primary,2021-05-23,2021-07-04,7,6,42,13.927821428571415,13.838999999999979,83.03399999999988
Ecuador,5,0.9977883763829488,primary,2021-08-01,2021-08-29,5,4,28,8.30909999999999,8.303499999999985,33.21399999999994
Ecuador,6,0.9912001100747443,fallback≥0.99,2022-01-23,2022-02-20,5,4,28,12.505600000000005,12.006250000000023,48.02500000000009
Egypt,1,0.9930301095767571,primary,2020-06-07,2020-07-26,8,7,49,4.536607142857143,4.262142857142857,29.835
Egypt,2,0.9910481848717153,fallback≥0.99,2020-08-02,2020-08-23,4,3,21,1.2218999999999993,1.210666666666666,3.631999999999998
Egypt,3,0.9977341978763932,primary,2020-12-20,2021-07-11,30,29,203,2.9294211345939933,2.8518620689655165,82.70399999999998
Egypt,4,0.994396871467784,primary,2021-10-03,2022-01-02,14,13,91,3.2107252747252746,2.984230769230768,38.79499999999999
Egypt,5,0.9930556265114706,primary,2022-01-23,2022-02-27,6,5,35,3.072085714285715,2.9516000000000018,14.75800000000001
El Salvador,1,0.9969595405003171,primary,2020-07-12,2020-08-30,8,7,49,10.50897619047619,10.327,72.289
El Salvador,2,0.9967802962326565,primary,2021-01-03,2021-03-14,11,10,70,9.582563636363638,9.458099999999998,94.58099999999999
El Salvador,3,0.9935765727892748,primary,2021-08-01,2021-11-14,16,15,105,12.100139705882352,11.591733333333332,173.87599999999998
Equatorial Guinea,1,0.9969864038462577,primary,2021-09-12,2021-10-17,6,5,35,3.3583714285714277,3.326599999999999,16.632999999999996
Eritrea,1,0.9940388228322975,primary,2022-01-02,2022-02-06,6,5,35,1.4245428571428569,1.4077999999999995,7.038999999999998
Estonia,1,0.9932941630619618,primary,2020-12-27,2021-05-16,21,20,140,37.29135324675325,34.62725,692.545
Estonia,2,0.9948854645170792,primary,2021-11-28,2022-01-02,6,5,35,21.014485714285737,20.739400000000025,103.69700000000012
Estonia,3,0.9934715772124062,primary,2022-01-30,2022-03-27,9,8,56,37.92335,35.64574999999999,285.16599999999994
Eswatini,1,0.9906604958960027,fallback≥0.99,2020-12-27,2021-02-07,7,6,42,63.287821428571434,60.29916666666666,361.79499999999996
Eswatini,2,0.9923367421574536,primary,2021-07-25,2021-09-05,7,6,42,55.611214285714276,54.282999999999994,325.698
Ethiopia,1,0.9985673710545446,primary,2021-04-11,2021-05-09,5,4,28,1.4602999999999997,1.4455,5.782
Ethiopia,2,0.9988168994485908,primary,2021-09-19,2021-10-17,5,4,28,2.1891999999999996,2.1572499999999994,8.628999999999998
Europe,1,0.9967741225661642,primary,2020-03-29,2020-04-26,5,4,28,34.5242,34.06075,136.243
Europe,2,0.992608119007278,primary,2020-10-18,2021-03-28,24,23,161,43.76469260869565,40.3704347826087,928.52
Europe,3,0.993944552123781,primary,2021-04-04,2021-05-09,6,5,35,29.195571428571455,28.942800000000034,144.71400000000017
Europe,4,0.9933345541660363,primary,2021-10-03,2022-04-03,27,26,182,30.061542735042735,27.858730769230778,724.3270000000002
