country,wave,r2_fit,fit_tier,week_start,week_end,n_weekly_observations,n_week_intervals,span_calendar_days,slope_ols_deaths_per_million_per_week,slope_secant_delta_over_n_minus_1,delta_cumulative
Guatemala,2,0.9923048867480807,primary,2021-01-17,2021-02-28,7,6,42,11.053678571428573,10.776166666666674,64.65700000000004
Guatemala,3,0.9971864023818484,primary,2021-04-25,2021-05-23,5,4,28,8.577999999999998,8.41825,33.673
Guatemala,4,0.996724991281103,primary,2021-06-13,2021-11-28,25,24,168,18.57170076923077,17.45775,418.98600000000005
Guinea,1,0.992489822984706,primary,2021-08-01,2021-08-29,5,4,28,1.8500000000000003,1.8322500000000002,7.329000000000001
Guinea-Bissau,1,0.9965479511298367,primary,2021-08-29,2021-09-26,5,4,28,2.137200000000001,2.1372500000000016,8.549000000000007
Guyana,1,0.993917215421165,primary,2020-09-06,2020-11-08,10,9,63,12.517509090909092,12.035555555555558,108.32000000000002
Guyana,2,0.9947304970281576,primary,2021-03-28,2021-07-25,18,17,119,22.461437564499487,20.976823529411767,356.60600000000005
Guyana,3,0.992465244001052,primary,2021-08-22,2021-10-24,10,9,63,43.49044242424242,40.839888888888886,367.55899999999997
Guyana,4,0.9996537620959393,primary,2021-11-14,2021-12-12,5,4,28,18.499599999999987,18.56049999999999,74.24199999999996
Haiti,1,0.9920681609256117,primary,2021-05-30,2021-07-25,9,8,56,2.6644166666666664,2.510125,20.081
High-income countries,1,0.9930084845846737,primary,2020-03-29,2020-05-10,7,6,42,29.614607142857142,28.701666666666668,172.21
High-income countries,2,0.9924779543158828,primary,2020-05-17,2020-06-14,5,4,28,10.013200000000001,10.113,40.452
High-income countries,3,0.9938682638615159,primary,2020-11-15,2021-03-14,18,17,119,40.01937358101135,37.50670588235294,637.6139999999999
High-income countries,4,0.9924099381449979,primary,2021-04-11,2021-05-16,6,5,35,16.277999999999974,16.214399999999976,81.07199999999989
High-income countries,5,0.9989636746037611,primary,2021-08-22,2021-10-10,8,7,49,14.819666666666665,14.616714285714286,102.31700000000001
High-income countries,6,0.9924222265899663,primary,2021-10-17,2022-04-03,25,24,168,22.101843076923075,20.446124999999995,490.7069999999999
Honduras,1,0.993532193133487,primary,2020-08-02,2020-10-18,12,11,77,10.941416083916083,10.590545454545456,116.49600000000001
Honduras,2,0.995812209032307,primary,2021-01-17,2021-03-28,11,10,70,11.743445454545453,11.391499999999997,113.91499999999996
Honduras,3,0.9959506552960457,primary,2021-04-04,2021-10-31,31,30,210,18.87528790322581,17.896466666666665,536.894
Hungary,1,0.9938459366786647,primary,2020-11-08,2021-01-24,12,11,77,95.20593006993008,89.46054545454545,984.066
Hungary,2,0.9931469472848292,primary,2021-02-28,2021-05-09,11,10,70,152.22750909090908,140.72250000000003,1407.2250000000001
Hungary,3,0.9928982808517043,primary,2021-11-21,2022-01-02,7,6,42,112.50889285714284,110.247,661.482
Hungary,4,0.9980287022995697,primary,2022-02-06,2022-03-06,5,4,28,66.93290000000006,65.69900000000007,262.7960000000003
India,1,0.9922368676042479,primary,2020-06-28,2020-11-15,21,20,140,4.394793506493507,3.9827,79.654
India,2,0.9943779826450323,primary,2020-11-22,2020-12-20,5,4,28,2.1622999999999992,2.1484999999999985,8.593999999999994
