enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,mad_error,medae,rmedae,fit_quality,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean,h_first1,h_first2,h_last2,h_last1,t_first1,t_first2,t_last2,t_last1,iso_week_first,iso_week_last,optimizer_success,optimizer_fun,optimizer_nfev,optimizer_nit,optimizer_message,optimizer_status,optimizer_status_meaning,optimizer_warnflag,optimizer_grad_norm,failure_detail,param_C_valid,param_ka_valid,param_kb_valid,param_tau_valid
2022_26,slope8,1930,2,93,-0.0021799699117469747,-5.673694597039856,-0.0030981894192175846,-0.0019900611722179313,30.66742296772752,0.18506243348331847,0.14051830743840635,0.1070586090706378,0.8277710361110746,poor,,,-5.793217015376116,0.007059330495227035,-0.009047067373118979,30.666666666666668,0.0,94.0,47.0,-6.364802665327183,-5.353434799888715,-5.800844297804636,0.003693935598773043,0.0022036148185540115,0.002282571516617614,0.002758379588037617,0.0,1.0,93.0,94.0,2022-26,2024-16,True,6.534419803255762,255,18,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
2022_26,linear,1930,3,78,0.0009431143844434182,-6.140606683831756,,,,0.12338889576049664,0.09393779403899497,0.0834446560785973,1.0467464382586305,poor,"linear_fit_t_mean=55.500000,skip_weeks=17",,,,,,17.0,94.0,55.5,-6.358512879927257,-5.760572523261393,-6.131211062984709,0.002226446751921571,0.002001161462005172,0.0022304259168212243,0.002085119293020364,17.0,18.0,93.0,94.0,2022-43,2024-16,,,,,,,,,,,,,,
2022_26,slope8,1930,3,78,0.0009431143844434182,-5.8393999709776665,-0.020925185896711627,0.004115102913319648,25.666601964486183,0.11549454197105584,0.08923453161613737,0.07111296510513743,0.892055242791099,poor,,,-6.0261231518516825,0.0003392185439355298,0.0001,25.666666666666668,0.0,94.0,47.0,-6.4623220092068605,-5.760572523261393,-6.153874067361595,0.0018914964219173566,0.0015611664555600067,0.0022304259168212243,0.002085119293020364,0.0,1.0,93.0,94.0,2022-26,2024-16,True,3.480250777145313,575,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
2022_26,linear,1940,0,93,-0.002105115583069506,-6.74163351432693,,,,0.16582308331858067,0.13131239214722998,0.11684519989977726,0.9006747244955301,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-7.092549563746165,-6.324416503253094,-6.725882672499432,0.0014235915015896891,0.0012907427490121827,0.001089433852648092,0.0010153303202496012,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,linear,1940,1,91,-0.0037314544311436845,-6.468583116786708,,,,0.5406846942083512,0.41745074344736594,0.4008520877673627,1.269044085969715,poor,"linear_fit_t_mean=47.912088,skip_weeks=2",,,,,,2.0,94.0,47.91208791208791,-7.784056988196321,-5.42009079047008,-6.525040016423585,0.0019076694072241124,0.001145913036011906,0.004426744723351974,0.002218279525429526,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,linear,1940,2,93,-0.0007428117291885415,-6.831179199233167,,,,0.16055468275774593,0.12947039091758372,0.11044157169214763,0.9474319205295861,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-7.1481210489927784,-6.338429452440926,-6.811550987922334,0.0008912300894527584,0.0014253365940450871,0.0011046632637163405,0.0009287789436807423,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,linear,1940,3,78,0.0011140990873086973,-7.286406423641561,,,,0.11242239757621098,0.08670595191235816,0.07111168972763782,1.0140235667245105,poor,"linear_fit_t_mean=55.500000,skip_weeks=17",,,,,,17.0,94.0,55.5,-7.49612255767095,-6.979250193562777,-7.28011641489009,0.0006560278224696758,0.0005731710703644062,0.000615870339898296,0.0006062721430158352,17.0,18.0,93.0,94.0,2022-43,2024-16,,,,,,,,,,,,,,
2022_26,linear,1950,0,93,-0.0017651585002339577,-7.642435089175189,,,,0.14048905301547243,0.109841778409845,0.08709080302961247,0.880186882510604,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-7.9679731696647424,-7.3179847402287574,-7.644175787670693,0.00039124102149497677,0.0004998344026257864,0.0004592581488945882,0.00041539217394256705,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,linear,1950,1,88,-0.005522031923254207,-7.3316502401239,,,,0.5616830064205593,0.4461186907530429,0.3717541232266153,1.009472827724644,poor,"linear_fit_t_mean=46.556818,skip_weeks=2",,,,,,2.0,93.0,46.55681818181818,-8.280964395206778,-6.0565233087048025,-7.345579455306898,0.0012594460103069487,0.0012610342150281334,0.0008066685030058435,0.00026896180904471324,2.0,3.0,92.0,93.0,2022-28,2024-15,,,,,,,,,,,,,,
2022_26,linear,1950,2,93,-0.0015339161614993805,-7.828489176012295,,,,0.13994484966180462,0.1072160755603644,0.08871834468502104,0.9962921629899518,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-8.226676329569402,-7.292337137557081,-7.813301465829778,0.00038302031796678287,0.00045586982733076105,0.0003770351372857111,0.000267423682989319,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
