config_id,enroll_year,enroll_month,quiet_t_min,quiet_t_max,max_fu_months,separate_doses,cohort,final_t,final_kcor,max_kcor,min_kcor,mean_kcor
2022-01_quiet3-10_fu18_separate,2022,1,3,10,18,True,dose1,18,0.9485623274984097,0.9978833801104846,0.8764399365342819,0.9214471792604995
2022-01_quiet3-10_fu18_separate,2022,1,3,10,18,True,dose2,18,0.7048157771238862,0.7048157771238862,0.6431124419843933,0.6722027740758584
2022-01_quiet3-10_fu18_separate,2022,1,3,10,18,True,dose3,18,0.8607408485462643,0.8607408485462643,0.538980010885759,0.7751338253069198
2022-01_quiet3-10_fu18_separate,2022,1,3,10,18,True,dose4,18,1.9106735608443692,2.952510119246274,0.0,1.8777728683231398
2022-01_quiet3-10_fu18_separate,2022,1,3,10,18,True,dose5,18,1.7751896933208278,6.578623180763647,0.0,2.7127480118400986
2022-01_quiet3-10_fu18_separate,2022,1,3,10,18,True,dose6,18,0.0,0.0,0.0,0.0
2022-01_quiet3-10_fu24_grouped,2022,1,3,10,24,False,dose1,24,0.9813296347678031,0.9978833801104846,0.8764399365342819,0.9332430710698674
2022-01_quiet3-10_fu24_grouped,2022,1,3,10,24,False,dose2,24,0.7285223089729874,0.7285223089729874,0.6431124419843933,0.6837807278330498
2022-01_quiet3-10_fu24_grouped,2022,1,3,10,24,False,dose3plus,24,0.8499761337642222,0.8617333031568022,0.5388955757173732,0.7947004681715905
2022-01_quiet3-10_fu24_separate,2022,1,3,10,24,True,dose1,24,0.9813296347678031,0.9978833801104846,0.8764399365342819,0.9332430710698674
2022-01_quiet3-10_fu24_separate,2022,1,3,10,24,True,dose2,24,0.7285223089729874,0.7285223089729874,0.6431124419843933,0.6837807278330498
2022-01_quiet3-10_fu24_separate,2022,1,3,10,24,True,dose3,24,0.8498629237760593,0.8615976754310156,0.538980010885759,0.7945473635944531
2022-01_quiet3-10_fu24_separate,2022,1,3,10,24,True,dose4,24,1.8134103536911284,2.952510119246274,0.0,1.8778487570111217
2022-01_quiet3-10_fu24_separate,2022,1,3,10,24,True,dose5,24,1.4429835884073348,6.578623180763647,0.0,2.4344778497160737
2022-01_quiet3-10_fu24_separate,2022,1,3,10,24,True,dose6,24,0.0,0.0,0.0,0.0
2022-01_quiet6-15_fu12_grouped,2022,1,6,15,12,False,dose1,12,0.8789970672483184,0.9978833801104846,0.8670579534884092,0.8929418790200022
2022-01_quiet6-15_fu12_grouped,2022,1,6,15,12,False,dose2,12,0.6236279057111642,0.6955345656741099,0.6236276024872709,0.6378273632232478
2022-01_quiet6-15_fu12_grouped,2022,1,6,15,12,False,dose3plus,12,0.8537862158690414,0.8537862158690414,0.5388955757173732,0.7396561670390968
2022-01_quiet6-15_fu12_separate,2022,1,6,15,12,True,dose1,12,0.8789970672483184,0.9978833801104846,0.8670579534884092,0.8929418790200022
2022-01_quiet6-15_fu12_separate,2022,1,6,15,12,True,dose2,12,0.6236279057111642,0.6955345656741099,0.6236276024872709,0.6378273632232478
2022-01_quiet6-15_fu12_separate,2022,1,6,15,12,True,dose3,12,0.8537204976114992,0.8537204976114992,0.538980010885759,0.7395202867560461
2022-01_quiet6-15_fu12_separate,2022,1,6,15,12,True,dose4,12,2.3738716221432696,3.0595093047685413,0.0,2.1135808808325915
2022-01_quiet6-15_fu12_separate,2022,1,6,15,12,True,dose5,12,2.951238594812326,6.928249932094722,0.0,3.39985503881268
2022-01_quiet6-15_fu12_separate,2022,1,6,15,12,True,dose6,12,0.0,0.0,0.0,0.0
2022-01_quiet6-15_fu18_grouped,2022,1,6,15,18,False,dose1,18,0.8818414718027171,0.9978833801104846,0.8633854768027827,0.8884408721669844
2022-01_quiet6-15_fu18_grouped,2022,1,6,15,18,False,dose2,18,0.621533557640802,0.6955345656741099,0.6187974562861663,0.6314508767082265
2022-01_quiet6-15_fu18_grouped,2022,1,6,15,18,False,dose3plus,18,0.9119574055584825,0.9119574055584825,0.5388955757173732,0.8009802962955389
2022-01_quiet6-15_fu18_separate,2022,1,6,15,18,True,dose1,18,0.8818414718027171,0.9978833801104846,0.8633854768027827,0.8884408721669844
2022-01_quiet6-15_fu18_separate,2022,1,6,15,18,True,dose2,18,0.621533557640802,0.6955345656741099,0.6187974562861663,0.6314508767082265
2022-01_quiet6-15_fu18_separate,2022,1,6,15,18,True,dose3,18,0.9116720405299888,0.9116720405299888,0.538980010885759,0.8007408640967661
2022-01_quiet6-15_fu18_separate,2022,1,6,15,18,True,dose4,18,1.8396669463432942,2.938168345543135,0.0,1.8417024326835167
2022-01_quiet6-15_fu18_separate,2022,1,6,15,18,True,dose5,18,1.7164414080954604,6.5415743079162345,0.0,2.6694099925052255
2022-01_quiet6-15_fu18_separate,2022,1,6,15,18,True,dose6,18,0.0,0.0,0.0,0.0
2022-01_quiet6-15_fu24_grouped,2022,1,6,15,24,False,dose1,24,0.892131948172852,0.9978833801104846,0.8633854768027827,0.8886798266115622
2022-01_quiet6-15_fu24_grouped,2022,1,6,15,24,False,dose2,24,0.6185890903384148,0.6955345656741099,0.6185890903384148,0.628721255433802
2022-01_quiet6-15_fu24_grouped,2022,1,6,15,24,False,dose3plus,24,0.9124795319717286,0.9176094761149995,0.5388955757173732,0.8283281644729705
2022-01_quiet6-15_fu24_separate,2022,1,6,15,24,True,dose1,24,0.892131948172852,0.9978833801104846,0.8633854768027827,0.8886798266115622
