vaccinated_count,vaccinated_pct,unvaccinated_count,unvaccinated_pct,difference,age_group,icd
1.0,0.00044822949350067237,84.0,0.0016496465043205027,-0.0012014170108198305,<50,C67
0.0,0.0,8.0,0.00015710919088766692,-0.00015710919088766692,<50,C68
2.0,0.0008964589870013447,27.0,0.0005302435192458759,0.00036621546775546883,<50,C69
0.0,0.0,25.0,0.0004909662215239591,-0.0004909662215239591,<50,C70
62.0,0.027790228597041687,1230.0,0.02415553809897879,0.003634690498062896,<50,C71
2.0,0.0008964589870013447,71.0,0.001394344069128044,-0.0004978850821266993,<50,C72
0.0,0.0,42.0,0.0008248232521602514,-0.0008248232521602514,<50,C73
2.0,0.0008964589870013447,57.0,0.001119402985074627,-0.0002229439980732822,<50,C74
0.0,0.0,14.0,0.0002749410840534171,-0.0002749410840534171,<50,C75
2.0,0.0008964589870013447,75.0,0.0014728986645718774,-0.0005764396775705327,<50,C76
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,C77
0.0,0.0,9.0,0.00017674783974862528,-0.00017674783974862528,<50,C78
0.0,0.0,7.0,0.00013747054202670856,-0.00013747054202670856,<50,C79
31.0,0.013895114298520844,476.0,0.009347996857816182,0.004547117440704662,<50,C80
0.0,0.0,228.0,0.004477611940298508,-0.004477611940298508,<50,C81
1.0,0.00044822949350067237,57.0,0.001119402985074627,-0.0006711734915739546,<50,C82
4.0,0.0017929179740026895,170.0,0.0033385703063629223,-0.0015456523323602329,<50,C83
2.0,0.0008964589870013447,26.0,0.0005106048703849175,0.00038585411661642727,<50,C84
1.0,0.00044822949350067237,119.0,0.0023369992144540454,-0.0018887697209533732,<50,C85
1.0,0.00044822949350067237,2.0,3.927729772191673e-05,0.00040895219577875564,<50,C86
1.0,0.00044822949350067237,6.0,0.0001178318931657502,0.00033039760033492214,<50,C88
3.0,0.001344688480502017,91.0,0.0017871170463472114,-0.0004424285658451944,<50,C90
1.0,0.00044822949350067237,199.0,0.003908091123330715,-0.003459861629830043,<50,C91
13.0,0.00582698341550874,531.0,0.010428122545168892,-0.004601139129660152,<50,C92
0.0,0.0,13.0,0.00025530243519245873,-0.00025530243519245873,<50,C93
0.0,0.0,14.0,0.0002749410840534171,-0.0002749410840534171,<50,C94
0.0,0.0,30.0,0.000589159465828751,-0.000589159465828751,<50,C95
1.0,0.00044822949350067237,29.0,0.0005695208169677926,-0.00012129132346712021,<50,C96
0.0,0.0,47.0,0.0009230164964650433,-0.0009230164964650433,<50,C97
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,D05
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,D07
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,D11
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,D13
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,D14
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,D18
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,D25
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,D28
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,D31
0.0,0.0,22.0,0.00043205027494108407,-0.00043205027494108407,<50,D32
0.0,0.0,26.0,0.0005106048703849175,-0.0005106048703849175,<50,D33
0.0,0.0,15.0,0.0002945797329143755,-0.0002945797329143755,<50,D35
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,D37
1.0,0.00044822949350067237,3.0,5.89159465828751e-05,0.00038931354691779726,<50,D38
1.0,0.00044822949350067237,3.0,5.89159465828751e-05,0.00038931354691779726,<50,D39
1.0,0.00044822949350067237,1.0,1.9638648860958365e-05,0.000428590844639714,<50,D41
1.0,0.00044822949350067237,3.0,5.89159465828751e-05,0.00038931354691779726,<50,D42
0.0,0.0,18.0,0.00035349567949725057,-0.00035349567949725057,<50,D43
0.0,0.0,3.0,5.89159465828751e-05,-5.89159465828751e-05,<50,D44
0.0,0.0,35.0,0.0006873527101335428,-0.0006873527101335428,<50,D46
0.0,0.0,13.0,0.00025530243519245873,-0.00025530243519245873,<50,D47
0.0,0.0,8.0,0.00015710919088766692,-0.00015710919088766692,<50,D48
0.0,0.0,6.0,0.0001178318931657502,-0.0001178318931657502,<50,D50
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,D51
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,D55
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,D56
1.0,0.00044822949350067237,0.0,0.0,0.00044822949350067237,<50,D57
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,D58
0.0,0.0,6.0,0.0001178318931657502,-0.0001178318931657502,<50,D59
1.0,0.00044822949350067237,20.0,0.00039277297721916735,5.545651628150502e-05,<50,D61
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,D62
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,D64
0.0,0.0,21.0,0.0004124116260801257,-0.0004124116260801257,<50,D65
0.0,0.0,19.0,0.00037313432835820896,-0.00037313432835820896,<50,D68
1.0,0.00044822949350067237,25.0,0.0004909662215239591,-4.273672802328676e-05,<50,D69
2.0,0.0008964589870013447,6.0,0.0001178318931657502,0.0007786270938355945,<50,D70
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,D73
0.0,0.0,5.0,9.819324430479184e-05,-9.819324430479184e-05,<50,D75
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,D76
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,D80
0.0,0.0,6.0,0.0001178318931657502,-0.0001178318931657502,<50,D81
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,D83
0.0,0.0,7.0,0.00013747054202670856,-0.00013747054202670856,<50,D84
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,D86
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,D89
0.0,0.0,5.0,9.819324430479184e-05,-9.819324430479184e-05,<50,E03
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,E04
0.0,0.0,8.0,0.00015710919088766692,-0.00015710919088766692,<50,E05
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,E06
1.0,0.00044822949350067237,3.0,5.89159465828751e-05,0.00038931354691779726,<50,E07
22.0,0.009861048857014791,266.0,0.0052238805970149255,0.004637168259999866,<50,E10
8.0,0.003585835948005379,104.0,0.00204241948153967,0.001543416466465709,<50,E11
0.0,0.0,3.0,5.89159465828751e-05,-5.89159465828751e-05,<50,E13
2.0,0.0008964589870013447,20.0,0.00039277297721916735,0.0005036860097821774,<50,E14
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,E15
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,E16
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,E21
0.0,0.0,10.0,0.00019638648860958367,-0.00019638648860958367,<50,E23
0.0,0.0,5.0,9.819324430479184e-05,-9.819324430479184e-05,<50,E24
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,E25
