icd,vaccinated_count,vaccinated_pct,unvaccinated_count,unvaccinated_pct,difference,abs_difference
S01,9.0,7.885951615305756e-05,143.0,9.386121405213958e-05,-1.5001697899082018e-05,1.5001697899082018e-05
I15,9.0,7.885951615305756e-05,98.0,6.432446837139636e-05,1.4535047781661205e-05,1.4535047781661205e-05
C05,14.0,0.00012267035846031177,209.0,0.0001371817743838963,-1.4511415923584538e-05,1.4511415923584538e-05
Q20,0.0,0.0,22.0,1.4440186777252243e-05,-1.4440186777252243e-05,1.4440186777252243e-05
R58,1.0,8.76216846145084e-06,35.0,2.297302441835584e-05,-1.4210855956905001e-05,1.4210855956905001e-05
T62,4.0,3.504867384580336e-05,32.0,2.1003908039639627e-05,1.4044765806163735e-05,1.4044765806163735e-05
A08,4.0,3.504867384580336e-05,32.0,2.1003908039639627e-05,1.4044765806163735e-05,1.4044765806163735e-05
I89,4.0,3.504867384580336e-05,32.0,2.1003908039639627e-05,1.4044765806163735e-05,1.4044765806163735e-05
J67,2.0,1.752433692290168e-05,48.0,3.150586205945944e-05,-1.3981525136557757e-05,1.3981525136557757e-05
B22,0.0,0.0,21.0,1.3783814651013504e-05,-1.3783814651013504e-05,1.3783814651013504e-05
T24,0.0,0.0,21.0,1.3783814651013504e-05,-1.3783814651013504e-05,1.3783814651013504e-05
D59,6.0,5.257301076870504e-05,101.0,6.629358475011257e-05,-1.3720573981407533e-05,1.3720573981407533e-05
D51,5.0,4.38108423072542e-05,46.0,3.019311780698196e-05,1.361772450027224e-05,1.361772450027224e-05
D42,5.0,4.38108423072542e-05,46.0,3.019311780698196e-05,1.361772450027224e-05,1.361772450027224e-05
E26,2.0,1.752433692290168e-05,6.0,3.93823275743243e-06,1.3586104165469251e-05,1.3586104165469251e-05
S11,5.0,4.38108423072542e-05,87.0,5.710437498277023e-05,-1.3293532675516031e-05,1.3293532675516031e-05
D81,3.0,2.628650538435252e-05,20.0,1.3127442524774765e-05,1.3159062859577754e-05,1.3159062859577754e-05
F07,3.0,2.628650538435252e-05,20.0,1.3127442524774765e-05,1.3159062859577754e-05,1.3159062859577754e-05
M80,6.0,5.257301076870504e-05,100.0,6.563721262387383e-05,-1.3064201855168786e-05,1.3064201855168786e-05
D52,2.0,1.752433692290168e-05,7.0,4.594604883671168e-06,1.2929732039230514e-05,1.2929732039230514e-05
J03,2.0,1.752433692290168e-05,7.0,4.594604883671168e-06,1.2929732039230514e-05,1.2929732039230514e-05
F15,2.0,1.752433692290168e-05,7.0,4.594604883671168e-06,1.2929732039230514e-05,1.2929732039230514e-05
