enrollment_date,t,calendar_week,dead0,alive0,h0,dead2,alive2,h2,dead3,alive3,h3,HR20,HR30,edge_sameweek0,edge_sameweek2,edge_sameweek3
2021-11-15,1,2021-11-22,1284,5345752,0.00024021956632779785,1156,4787041,0.0002415144555841795,62,139813,0.00044354781743328054,1.005390440404903,1.8464266846108024,4,9,0
2021-11-15,2,2021-11-29,1329,5258065,0.0002527865257891229,1072,4649148,0.00023060647022181744,78,139751,0.0005582913566907173,0.9122577617692792,2.20854871495979,6,17,0
2021-11-15,3,2021-12-06,1314,5200944,0.0002526783631347791,1022,4367231,0.0002340429440552495,80,139671,0.0005729386897493558,0.9262484573339214,2.2674624081039707,4,15,0
2021-11-15,4,2021-12-13,1243,5163117,0.00024077502944168646,854,4029687,0.00021194958955165845,95,139590,0.0006807961995036485,0.8802806090113706,2.827519951227049,1,19,0
2021-11-15,5,2021-12-20,1095,5126010,0.00021363925775764303,777,3709049,0.0002095096067278552,71,139494,0.0005091120407401859,0.9806699804467931,2.383045354509392,0,18,0
2021-11-15,6,2021-12-27,1032,5105508,0.0002021550677286636,664,3519870,0.00018866112596866244,66,139423,0.00047349165100123614,0.9332495499043685,2.3422200408884413,2,8,0
2021-11-15,7,2022-01-03,928,5086213,0.00018247066510255092,550,3309796,0.00016618719182199024,77,139357,0.0005526904320681412,0.9107611446946327,3.0289275909501505,3,6,0
2021-11-15,8,2022-01-10,863,5053563,0.0001707851857996349,552,2909563,0.00018973721109533041,92,139280,0.0006607581721941605,1.1109699603449799,3.8689431352047223,1,6,0
2021-11-15,9,2022-01-17,751,5023887,0.00014949702044051905,502,2544232,0.00019732851842401106,88,139188,0.0006324383583422376,1.3199495069704277,4.230441225374578,0,4,0
2021-11-15,10,2022-01-24,732,5003556,0.0001463066566141942,411,2317448,0.00017736598611387894,76,139100,0.0005465188325470058,1.2122892438283732,3.735433815483583,2,2,0
2021-11-15,11,2022-01-31,873,4990332,0.00017495356410307747,474,2147516,0.0002207444872905254,91,139024,0.0006547775609265883,1.2617318682371585,3.742579148263666,1,4,0
2021-11-15,12,2022-02-07,858,4981867,0.00017223942205468244,469,2037676,0.00023019065925132163,101,138933,0.0007272334847897663,1.336457452686069,4.222224367188626,2,3,0
2021-11-15,13,2022-02-14,827,4977014,0.00016617769537719725,420,1973967,0.00021279215302837286,84,138832,0.0006052309428930936,1.2805097130837453,3.642070865884344,0,0,0
2021-11-15,14,2022-02-21,797,4973379,0.00016026606211425482,368,1930975,0.00019059546119384397,92,138748,0.0006632925507419205,1.1892440525428716,4.138696252916319,0,0,0
2021-11-15,15,2022-02-28,773,4970451,0.00015553118104564466,344,1897724,0.0001812862050379485,90,138656,0.0006492991404861403,1.1655939588393234,4.174720053695127,0,0,0
2021-11-15,16,2022-03-07,761,4968112,0.00015318863378344728,364,1876648,0.0001939816661434137,95,138566,0.0006858289955759878,1.2662928139801342,4.477022730978196,0,0,0
2021-11-15,17,2022-03-14,671,4966130,0.00013512439973527315,335,1859079,0.00018021299072418183,93,138471,0.0006718464108461738,1.3336820816761685,4.972058430323548,0,0,0
2021-11-15,18,2022-03-21,725,4964316,0.00014605293971601917,324,1841738,0.00017593626374139446,94,138378,0.0006795295603813791,1.2046061112051527,4.652625011880182,0,0,0
2021-11-15,19,2022-03-28,718,4962538,0.00014469449837510823,340,1825220,0.0001862962663945348,85,138284,0.0006148660328332937,1.2875145115163777,4.249408510607678,0,0,0
2021-11-15,20,2022-04-04,654,4960606,0.0001318474224831808,307,1808983,0.0001697230174192779,114,138199,0.0008252378456201759,1.2872683759967223,6.259036620343852,0,0,0
2021-11-15,21,2022-04-11,622,4958971,0.000125437114223496,292,1794561,0.00016272712869891038,104,138085,0.0007534430528921927,1.2972805513444239,6.006540070347561,0,0,0
2021-11-15,22,2022-04-18,587,4957638,0.00011841016913102199,304,1784420,0.00017037799295584487,103,137981,0.0007467583423884996,1.438879736480403,6.306538938916677,0,0,0
2021-11-15,23,2022-04-25,575,4956169,0.00011602375897098964,261,1772466,0.00014726331468933984,91,137878,0.0006602216698204162,1.2692513670942285,5.690400618596548,0,0,0
2021-11-15,24,2022-05-02,619,4954602,0.00012494215890669258,250,1760823,0.00014198914318076228,100,137787,0.0007260213623975724,1.1364390084439029,5.8108597510290245,0,0,0
2021-11-15,25,2022-05-09,567,4953092,0.00011448050144059667,265,1750536,0.00015139366466425348,91,137687,0.0006611378349894823,1.322440614420359,5.775113025099241,0,0,0
2021-11-22,0,2021-11-22,1284,5345752,0.00024021956632779785,1160,4825341,0.00024042641813506874,36,102870,0.00035001750444850575,1.000861094749412,1.4570732509394355,4,9,0
2021-11-22,1,2021-11-29,1329,5258065,0.0002527865257891229,1073,4687443,0.00022893565397272733,45,102834,0.0004376942338007875,0.9056481679870381,1.7314777060780386,6,17,0
2021-11-22,2,2021-12-06,1314,5200944,0.0002526783631347791,1026,4405521,0.00023291671766278134,61,102789,0.0005936248757165954,0.9217913032725448,2.349330066698093,4,15,0
2021-11-22,3,2021-12-13,1243,5163117,0.00024077502944168646,857,4067956,0.00021069310611182709,50,102723,0.0004868644081447895,0.8750621133777291,2.022071845547022,1,19,0
2021-11-22,4,2021-12-20,1095,5126010,0.00021363925775764303,780,3747305,0.00020817125630465184,49,102673,0.0004773572037630314,0.9744054463098996,2.234407705650034,0,18,0
2021-11-22,5,2021-12-27,1032,5105508,0.0002021550677286636,668,3558119,0.00018775727087565918,40,102622,0.00038985595316493775,0.9287784520330233,1.9284995303120962,2,8,0
