country,wave,search_start,search_end,segment_start,segment_end,peak_week,n_weeks,slope_deaths_per_million_per_week,intercept,r2,delta_cum_over_segment,status
Belarus,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-04-24,2021-12-26,23,10.497319169960475,546.4641847826086,0.9858781334043586,216.93500000000006,ok
Belgium,first_wave_2020,2020-02-15,2020-10-15,2020-04-05,2020-05-24,2020-04-19,8,85.09569047619047,280.70458333333346,0.9052313766696821,610.2149999999999,ok
Belgium,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-11-01,2021-02-14,2020-11-22,16,54.21733088235293,1161.553705882353,0.9326786777496647,865.1569999999999,ok
Belgium,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-06-20,2021-05-02,8,10.236130952380899,2104.733666666667,0.9356251319994724,74.21499999999969,ok
Belgium,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-04-24,2021-12-12,23,17.67092588932806,2320.087076086957,0.9893989672044738,395.3000000000002,ok
Belize,first_wave_2020,2020-02-15,2020-10-15,2020-08-23,2020-10-11,2020-10-11,8,9.311166666666665,16.13966666666667,0.9652729432757666,74.489,ok
Belize,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-11,2021-02-14,2020-12-06,19,44.584859649122805,42.01447368421054,0.9766616698554446,690.27,ok
Belize,delta_2021,2021-05-01,2021-11-30,2021-08-22,2021-11-28,2021-11-21,15,41.102275,817.8748083333335,0.9818900021066753,543.7739999999999,ok
Belize,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-03-06,2021-11-21,16,14.649639705882354,1400.4035147058823,0.9899963564325219,230.9179999999999,ok
Benin,first_wave_2020,2020-02-15,2020-10-15,2020-06-14,2020-08-16,2020-07-19,10,0.2770484848484849,0.6647818181818179,0.9543968524079777,2.398,ok
Benin,alpha_winter_2020_21,2020-10-01,2021-05-31,2021-02-07,2021-05-02,2021-03-21,13,0.2823406593406594,4.231956043956044,0.9262103493273981,3.1980000000000004,ok
Benin,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-10-17,2021-09-05,25,0.19562307692307693,6.280643076923077,0.8218510503210746,4.506,ok
Benin,omicron_ba1_2021_22,2021-11-15,2022-04-30,,,,,,,,,no_segment
Bermuda,first_wave_2020,2020-02-15,2020-10-15,2020-04-12,2020-05-31,2020-04-19,8,12.498047619047622,60.46858333333332,0.9330107332964693,77.19400000000002,ok
Bermuda,alpha_winter_2020_21,2020-10-01,2021-05-31,2021-01-10,2021-05-30,2021-05-02,21,16.902479220779224,98.5804935064935,0.6925371276274276,308.776,ok
Bermuda,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-10-31,2021-10-10,27,33.88423076923077,244.5287777777778,0.5527501997686933,1127.03,ok
Bermuda,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-01-02,2022-04-24,2022-02-06,17,22.174313725490194,1693.4212549019608,0.9668987744330927,324.21399999999994,ok
Bhutan,first_wave_2020,2020-02-15,2020-10-15,,,,,,,,,no_segment
Bhutan,alpha_winter_2020_21,2020-10-01,2021-05-31,,,,,,,,,no_segment
Bhutan,delta_2021,2021-05-01,2021-11-30,2021-07-18,2021-08-29,2021-08-15,7,0.2745,2.2864999999999998,0.75,1.2810000000000001,ok
Bhutan,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-02-13,2022-04-24,2022-04-17,11,1.8509818181818183,3.8998181818181816,0.8833328497429568,19.208000000000002,ok
Bolivia,first_wave_2020,2020-02-15,2020-10-15,2020-07-05,2020-10-11,2020-09-13,15,45.26821071428571,77.50905833333337,0.9739419085301828,574.805,ok
Bolivia,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-05-30,2021-02-14,35,14.937013165266109,627.2314047619047,0.9574672099780311,524.2950000000001,ok
Bolivia,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-08-29,2021-06-20,18,28.877292053663563,1089.9015730994151,0.9574707690300462,446.79399999999987,ok
Bolivia,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-28,2022-02-27,2022-02-06,14,16.815703296703298,1563.6321428571428,0.9662974132789783,187.875,ok
Bonaire Sint Eustatius and Saba,first_wave_2020,2020-02-15,2020-10-15,,,,,,,,,no_segment
Bonaire Sint Eustatius and Saba,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-25,2021-05-30,2021-04-11,32,17.807785740469207,-31.72689772727273,0.7572368560701992,488.58799999999997,ok
Bonaire Sint Eustatius and Saba,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-10-17,2021-10-03,25,3.1946330769230764,564.7212830769231,0.4727900930665878,104.69799999999998,ok
Bonaire Sint Eustatius and Saba,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-28,2022-02-27,2022-01-23,14,29.530028571428584,697.9827428571426,0.8974357921849173,314.0920000000001,ok
Bosnia and Herzegovina,first_wave_2020,2020-02-15,2020-10-15,2020-04-19,2020-10-11,2020-08-30,26,10.82084170940171,-22.773136752136764,0.9050146063768335,274.58799999999997,ok
Bosnia and Herzegovina,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-11-08,2021-05-30,2021-04-18,30,79.44127096774193,527.5486043010753,0.9678415592683591,2407.011,ok
Bosnia and Herzegovina,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-06-27,2021-05-02,9,41.69268333333333,2702.081377777778,0.9760189102678553,336.0590000000002,ok
